TIMESTAMP,ContextTokens,GeneratedTokens
2023-11-16 18:15:46.6805900,374,44
2023-11-16 18:15:52.5732450,91,16
2023-11-16 18:15:55.0176690,242,14
2023-11-16 18:15:56.2631480,1315,174
2023-11-16 18:15:58.1114940,120,12
2023-11-16 18:15:59.7304330,197,152
2023-11-16 18:16:04.1015080,2584,170
2023-11-16 18:16:05.6600290,2548,116
2023-11-16 18:16:07.3389430,191,217
2023-11-16 18:16:09.3934620,126,172
2023-11-16 18:16:11.4489750,437,88
2023-11-16 18:16:11.9304300,4073,58
2023-11-16 18:16:13.0876470,412,102
2023-11-16 18:16:14.7708240,64,174
2023-11-16 18:16:15.4449690,378,58
2023-11-16 18:16:17.9497610,212,183
2023-11-16 18:16:19.0690950,1029,399
2023-11-16 18:16:20.2073600,181,253
2023-11-16 18:16:20.6131190,1313,179
2023-11-16 18:16:23.2010070,203,162
2023-11-16 18:16:24.8355200,372,60
2023-11-16 18:16:25.7725050,4088,37
2023-11-16 18:16:26.3257810,1133,385
2023-11-16 18:16:27.8064630,126,203
2023-11-16 18:16:29.2112150,400,91
2023-11-16 18:16:29.3718280,890,402
2023-11-16 18:16:29.8740510,181,212
2023-11-16 18:16:30.5740160,1041,428
2023-11-16 18:16:31.5086690,1114,414
2023-11-16 18:16:31.8009570,13,130
2023-11-16 18:16:32.2108320,1077,390
2023-11-16 18:16:32.9106650,996,389
2023-11-16 18:16:33.8903150,197,217
2023-11-16 18:16:34.7135810,1186,398
2023-11-16 18:16:35.3902470,1232,419
2023-11-16 18:16:36.2680470,1029,388
2023-11-16 18:16:36.4232810,1009,425
2023-11-16 18:16:37.1667260,1097,396
2023-11-16 18:16:37.4223750,908,456
2023-11-16 18:16:37.8018320,1112,385
2023-11-16 18:16:38.3589370,1093,426
2023-11-16 18:16:38.9292120,1129,396
2023-11-16 18:16:39.8526300,914,414
2023-11-16 18:16:40.7030540,1313,156
2023-11-16 18:16:42.0202400,1065,594
2023-11-16 18:16:43.9606690,1000,375
